City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,batang,-6.4846,110.7083,299.74,81,52,2.24,ID,1699125535
250,badger,64.8,-147.5333,267.29,64,100,5.14,US,1699125535
251,bhanjanagar,19.9333,84.5833,296.05,90,55,0.68,IN,1699125535
252,chon daen,16.1895,100.8596,297.81,87,80,1.22,TH,1699125535
253,sumbe,-11.2061,13.8437,298.78,86,100,3.46,AO,1699125535
254,katsuura,35.1333,140.3,293.18,72,100,1.61,JP,1699125536
255,alaghsas,17.0187,8.0168,302.3,12,7,3.3,NE,1699125536
256,ariquemes,-9.9133,-63.0408,306.26,51,88,0.2,BR,1699125536
257,cole harbour,44.6724,-63.4751,288.13,70,100,5.14,CA,1699125536
258,howard springs,-12.497,131.047,299.19,87,15,2.12,AU,1699125536
259,bolgar,54.95,49.0667,275.84,77,0,3.73,RU,1699125536
260,saldanha,-33.0117,17.9442,289.18,85,100,6.6,ZA,1699125537
261,porto novo,6.4965,2.6036,302.05,84,95,2.62,BJ,1699125537
262,kill devil hills,36.0307,-75.676,290.92,86,100,5.66,US,1699125537
263,polyarnyy,69.1989,33.4478,266.66,86,100,3.58,RU,1699125537
264,taiynsha,53.8478,69.7639,272.2,84,82,2.67,KZ,1699125537
265,alice springs,-23.7,133.8833,290.9,27,80,2.06,AU,1699125537
266,tannum sands,-23.9504,151.3693,294.68,88,75,2.57,AU,1699125537
267,sao joao da barra,-21.6403,-41.0511,300.2,76,94,8.78,BR,1699125537
268,miri,4.4148,114.0089,298.23,100,20,1.03,MY,1699125538
269,prado,-17.3411,-39.2208,300.12,79,83,7.93,BR,1699125538
270,northam,51.0333,-4.2167,283.49,93,98,2.05,GB,1699125538
271,sao francisco,-15.9486,-44.8644,306.08,44,100,0.75,BR,1699125538
272,novodvinsk,64.4165,40.8122,269.7,96,97,4.57,RU,1699125538
273,lodwar,3.1191,35.5973,302.05,52,50,4.5,KE,1699125538
274,puerto baquerizo moreno,-0.9,-89.6,302.7,62,40,4.12,EC,1699125538
275,orapa,-21.2833,25.3667,297.91,45,100,3.05,BW,1699125539
276,lihue,21.9789,-159.3672,300.92,75,40,6.69,US,1699125288
277,gadzhiyevo,69.2551,33.3362,265.91,88,100,3.37,RU,1699125539
278,liuboml,51.226,24.0373,282.68,78,100,2.57,UA,1699125539
279,nadym,65.5333,72.5167,264.62,87,21,7.84,RU,1699125539
280,dudinka,69.4058,86.1778,265.72,93,100,10.28,RU,1699125539
281,pristen',51.2355,36.6959,284.25,89,100,9.14,RU,1699125539
282,sarangani,5.4033,125.4636,301.3,73,100,1.29,PH,1699125539
283,prienai,54.6333,23.95,281.3,90,100,3.11,LT,1699125540
284,viqueque,-8.8673,126.3658,296.47,88,54,1.34,TL,1699125540
285,keflavik,64.0049,-22.5624,277.39,70,75,10.29,IS,1699125540
286,luderitz,-26.6481,15.1594,289.2,82,0,4.99,NA,1699125540
287,mildura,-34.2,142.15,283.75,76,0,4.6,AU,1699125540
288,fristad,65.2,16.7167,268.27,94,100,5.69,SE,1699125540
289,quelimane,-17.8786,36.8883,298.12,69,75,2.06,MZ,1699125540
290,usogorsk,63.4106,48.6872,265.19,99,100,1.29,RU,1699125541
291,balaklava,44.5,33.6,295.12,45,100,8.95,UA,1699125541
292,verkhnevilyuysk,63.4453,120.3167,247.58,100,91,1.35,RU,1699125541
293,richmond,37.5538,-77.4603,296.04,25,20,0.0,US,1699125180
294,sompeta,18.9333,84.6,298.15,84,100,1.41,IN,1699125541
295,ad dilam,23.9915,47.1627,299.38,58,42,3.82,SA,1699125541
296,timimoun,29.2639,0.231,302.36,13,0,2.06,DZ,1699125541
297,jumla,29.2747,82.1838,278.57,70,0,1.75,NP,1699125542
298,beira,-19.8436,34.8389,296.0,70,100,4.9,MZ,1699125542
299,kitimat,54.0524,-128.6534,280.36,63,100,1.34,CA,1699125542
300,yorosso,12.3536,-4.7761,303.85,24,19,2.56,ML,1699125542
301,caleta de carquin,-11.0925,-77.6267,294.64,70,34,5.62,PE,1699125543
302,pandan,14.0453,124.1694,299.61,86,98,2.78,PH,1699125543
303,el alto,-4.2714,-81.2147,297.96,67,100,9.68,PE,1699125543
304,itoman,26.1247,127.6694,298.37,78,9,3.6,JP,1699125543
305,ingeniero guillermo n. juarez,-23.9,-61.85,302.02,17,5,1.87,AR,1699125543
306,tolanaro,-25.0319,46.9987,294.52,72,100,6.36,MG,1699125544
307,nova vicosa,-17.8919,-39.3719,301.49,73,85,8.1,BR,1699125544
308,suva,-18.1416,178.4415,298.86,89,40,0.0,FJ,1699125544
309,balikpapan,-1.2675,116.8289,297.7,100,20,0.0,ID,1699125544
310,mossendjo,-2.9506,12.7261,295.11,98,100,0.81,CG,1699125545
311,piti village,13.4626,144.6933,301.18,87,40,4.63,GU,1699125545
312,nabire,-3.3667,135.4833,297.3,87,100,1.22,ID,1699125545
313,taoudenni,22.6783,-3.9836,305.01,9,0,2.17,ML,1699125545
314,ihosy,-22.4,46.1167,289.69,86,100,5.78,MG,1699125546
315,carmo do cajuru,-20.1842,-44.7711,299.85,63,100,2.09,BR,1699125546
316,ust'-barguzin,53.45,108.9833,264.83,87,99,1.99,RU,1699125546
317,chissamba,-12.1667,17.3333,293.44,74,55,0.84,AO,1699125546
318,torghay,49.6339,63.4981,279.95,83,0,4.62,KZ,1699125547
319,saudarkrokur,65.7461,-19.6394,275.41,88,98,7.55,IS,1699125547
320,castillos,-34.1667,-53.8333,289.44,57,0,6.86,UY,1699125547
321,saipan,15.1355,145.701,300.54,83,40,4.63,MP,1699125547
322,tokmok,42.8417,75.3016,286.24,25,86,1.71,KG,1699125547
323,senillosa,-39.0,-68.4167,303.03,19,62,4.65,AR,1699125548
324,princeton,25.5384,-80.4089,301.16,68,100,5.66,US,1699125548
325,mar del plata,-38.0023,-57.5575,291.16,58,0,6.17,AR,1699125319
326,gusinoozyorsk,51.2833,106.5,264.61,74,7,0.98,RU,1699125548
327,limulunga,-15.0969,23.1376,300.47,40,81,0.59,ZM,1699125548
328,bardai,11.65,7.2333,298.98,30,100,2.69,NG,1699125549
329,lau,9.2167,11.2833,302.08,55,27,1.33,NG,1699125549
330,santiago del torno,-17.9833,-63.3833,301.25,31,92,0.58,BO,1699125549
331,kiunga,-6.1219,141.2906,295.68,100,100,0.36,PG,1699125549
332,kilindoni,-7.9139,39.6668,299.65,83,90,6.16,TZ,1699125549
333,rosetta,31.4044,30.4164,296.5,76,0,3.5,EG,1699125550
334,buka,40.8108,69.1986,287.28,24,100,1.23,UZ,1699125550
335,balod,20.73,81.2047,294.48,77,87,0.84,IN,1699125550
336,yichun,47.7,128.9,256.66,92,83,0.4,CN,1699125550
337,moapa valley,36.5805,-114.4703,297.41,9,7,0.29,US,1699125312
338,harstad,68.799,16.5293,274.35,63,100,3.7,NO,1699125551
339,kourou,5.1552,-52.6478,306.18,65,6,4.44,GF,1699125551
340,phan rang-thap cham,11.5667,108.9833,297.55,93,88,1.59,VN,1699125551
341,kavieng,-2.5744,150.7967,300.47,79,95,2.18,PG,1699125551
342,salekhard,66.53,66.6019,266.04,84,31,7.41,RU,1699125552
343,mitu,1.1983,-70.1733,297.9,92,100,1.55,CO,1699125374
344,palikir - national government center,6.9248,158.1611,297.56,94,100,1.03,FM,1699125552
345,banda aceh,5.5577,95.3222,299.37,83,100,1.06,ID,1699125552
346,al kharijah,25.4514,30.5464,299.58,24,0,2.32,EG,1699125553
347,sao jose,-28.2333,-49.1667,297.28,42,0,2.86,BR,1699125553
348,kailua-kona,19.6406,-155.9956,301.26,61,40,2.06,US,1699125553
349,sihlea,45.5,27.1167,287.38,90,100,2.48,RO,1699125553
350,port pirie,-33.1833,138.0167,285.29,47,0,2.82,AU,1699125553
351,nova sintra,14.8667,-24.7167,296.92,73,9,3.3,CV,1699125554
352,la union,-5.4,-80.75,303.37,36,16,7.09,PE,1699125554
353,swan hill,-35.3378,143.5544,281.91,87,0,3.64,AU,1699125554
354,kerema,-7.9631,145.7785,298.09,88,95,2.07,PG,1699125554
355,caala,-12.8525,15.5606,291.25,82,96,2.06,AO,1699125554
356,huarmey,-10.0681,-78.1522,295.3,70,99,5.63,PE,1699125554
357,caraballeda,10.6112,-66.8522,303.19,66,40,2.57,VE,1699125555
358,mejit,10.2753,170.8646,301.19,77,100,8.56,MH,1699125555
359,isangel,-19.55,169.2667,295.76,83,100,5.81,VU,1699125555
360,haiku-pauwela,20.9219,-156.3051,300.16,63,20,8.75,US,1699125256
361,colonia,50.9333,6.95,284.75,87,40,6.69,DE,1699125556
362,kiranur,10.5699,78.7868,299.99,96,98,2.26,IN,1699125556
363,muhos,64.808,25.9931,273.65,94,100,6.7,FI,1699125556
364,sisimiut,66.9395,-53.6735,269.45,90,100,3.98,GL,1699125556
365,east london,-33.0153,27.9116,291.24,76,32,2.25,ZA,1699125557
366,severo-yeniseyskiy,60.3725,93.0408,265.14,73,100,5.36,RU,1699125557
367,kidal,18.4411,1.4078,303.24,11,2,3.19,ML,1699125557
368,belmopan,17.25,-88.7667,298.41,97,100,1.0,BZ,1699125558
